0x10000168: EntryPoint
0x100040bc: amlogic_wait_for__HIU_MAILBOX_STAT
0x100040d0: amlogic_HIU_mailbox_stuff
0x100041c8: amlogic_HIU_mailbox_stuff_wrapper
0x100041d4: cflush
0x100041d8: cprintf
0x10004200: cputs
0x1000421c: command_ch
0x100042c8: cprints
0x10004318: sub_10004318
0x10004378: sub_10004378
0x10004380: not_print_reg
0x100044d0: main
0x10004574: panic_get_data
0x10004590: command_panicinfo
0x100045ec: panic_printf
0x10004618: panic_assert_fail
0x10004648: command_crash
0x100046fc: host_command_panic_info
0x10004750: amlogic_something_about_uart
0x10004770: panic_puts
0x100047ac: hexdigit
0x100047bc: vfnprintf
0x10004afc: shared_mem_size
0x10004b0c: command_shmem
0x10004b48: sub_10004b48
0x10004b60: sub_10004b60
0x10004b7c: amlogic_return_one_B
0x10004b80: system_usable_ram_end
0x10004b90: system_jumped_to_this_image
0x10004b9c: sub_10004b9c
0x10004bf0: sub_10004bf0
0x10004bfc: sub_10004bfc
0x10004c30: not_system_get_image_copy_string
0x10004c40: system_get_version
0x10004cf0: system_get_build_info
0x10004cf8: sub_10004cf8
0x10004d08: sub_10004d08
0x10004d60: sub_10004d60
0x10004da0: sub_10004da0
0x10004dc0: system_print_reset_flags
0x10004e14: command_reboot
0x10004edc: command_version
0x10004f4c: command_sysinfo
0x10005000: sub_10005000
0x100050f4: command_sysjump
0x1000518c: system_run_image_copy
0x10005198: host_command_reboot
0x100051f4: sub_100051f4
0x10005238: sub_10005238
0x100052e4: atomic_or
0x100052f8: amlogic_timer_init_maybe
0x10005330: get_time
0x10005358: command_get_time
0x1000537c: sub_1000537c
0x10005398: timer_print_info
0x1000542c: command_timer_info
0x10005436: udelay
0x1000544c: command_wait
0x10005478: timer_arm
0x100055d4: timer_cancel
0x10005600: sub_10005600
0x10005638: sub_10005638
0x10005698: sub_10005698
0x100056e0: sub_100056e0
0x10005708: sub_10005708
0x1000573c: sub_1000573c
0x10005784: uart_flush_output
0x100057b0: strlen
0x100057c0: isspace
0x100057da: tolower
0x100057e6: strcasecmp
0x10005816: strtoi
0x100058ac: memcmp
0x100058d0: memcpy
0x1000592e: memset
0x10005972: memmove
0x100059dc: strzcpy
0x10005a02: uint64divmod
